,Date,Item,Size,Brand,Color,Design,Style,Qty,Department,Product Category,product,size
13348,2019-04-28,MILAN/PALAK/TOP//HANDWOVEN/IVORY/GOLD/AISH650,S M,AISH,IVORY GOLD,BG-002,MILAN/PALAK/TOP,1.0,FASHION,CLOTHS,TOP,SMALL
13349,2019-04-28,JALI/RING//GOLD/GOLD/CJ19081,FS,DIANE SINGH,GOLD,TIMELESS BEAUTY,jali/ring,1.0,JEWELLERY,ACCESSORIES,RINGS,FREE SIZE
13350,2019-04-28,APRICOT/OIL/50/ML//COSMETICS/NATURALPL002,FS,PAHADI LOCAL,NATURAL,GUTTI KA TEL,APRICOT/OIL/50/ML,1.0,WELLNESS,COSMETICS,COSM OIL,FREE SIZE
13351,2019-04-28,PAHADI/BEAUTY/OIL//COSMETICS/NATURALPL010,FS,PAHADI LOCAL,NATURAL,PAHADI TEL,PAHADI/BEAUTY/OIL,1.0,WELLNESS,COSMETICS,COSM OIL,FREE SIZE
13352,2019-04-28,CHIRCHIRI/HONEY//COSMETICS/NATURALPL013,FS,PAHADI LOCAL,NATURAL,INDIAN BORAG HONEY,CHIRCHIRI/HONEY,1.0,WELLNESS,KITCHEN,HONEY,FREE SIZE
13353,2019-04-28,MBNL/19/BRASS//BRASS/METALLICMBJ015,FS,M BIJOU,METALLIC,MBNL 19 BRASS,MBNL/19/BRASS,1.0,JEWELLERY,ACCESSORIES,NECKLACE & PENDANT,FREE SIZE
13354,2019-04-28,HORN///BRASS/GOLDENSPL009,FS,SHOPLUNE,GOLDEN,BRASS,HORN,1.0,JEWELLERY,ACCESSORIES,NECKLACE & PENDANT,FREE SIZE
13355,2019-04-28,CHAIN//STERLING/SILVER/MTW078,FS,MODERN TWIST,SILVER,CHAIN,CHAIN,1.0,JEWELLERY,ACCESSORIES,NECKLACE & PENDANT,FREE SIZE
13356,2019-04-29,EYE/METAL/NA/AZ106,FS,AZGA,NATURAL,NECK CHAIN 1,EYE,1.0,JEWELLERY,ACCESSORIES,NECKLACE & PENDANT,FREE SIZE
13357,2019-04-29,STAR/PENDANT//BRASS/GOLDSPL003,FS,SHOPLUNE,GOLD,BRASS,STAR/PENDANT,1.0,JEWELLERY,ACCESSORIES,NECKLACE & PENDANT,FREE SIZE
13358,2019-04-29,MAGIC/MILLET//GRAINS/NATURAL8908007456290,350 GMS,GOURI,NATURAL,HEALTH CEREALS,MAGIC/MILLET,1.0,WELLNESS,KITCHEN,EATABLES,350 Gms
13359,2019-04-29,JAGGERY/POPS/50//QUINOA/JAGGERYAHF004,FS,OFC,JAGGERY,ORGANIC,JAGGERY/POPS/50,1.0,WELLNESS,KITCHEN,QUINOA,FREE SIZE
13360,2019-04-30,CLAMP/DYED///WOOL/TAHEER/ASSORTED/JM1901,FS,JAIPUR MODERN,ASSORTED,100% Wool,CLAMP/DYED,-20.0,WOMEN,CLOTHS,SCARF,FREE SIZE
